Date;Bloomberg Euro Aggregate Corporate Total Return Index EU;% Change;Bloomberg Euro Aggregate Treasury Germany Total Return Index;% Change
30.09.2014;227,9679;0,176388001;226,8464;-0,16270854
29.08.2014;227,5665;1,157076592;227,2161;1,929937106
31.07.2014;224,9635;0,496578318;222,914;0,584290794
30.06.2014;223,8519;0,561224352;221,6191;0,583479135
30.05.2014;222,6026;0,893573028;220,3335;1,015225168
30.04.2014;220,6311;0,920322149;218,1191;0,598279048
31.03.2014;218,6191;0,420664271;216,8219;0,349800362
28.02.2014;217,7033;0,562903522;216,0661;0,120617704
31.01.2014;216,4847;1,360337823;215,8058;2,10274913
31.12.2013;213,5793;-0,430623348;211,3614;-1,119555378
29.11.2013;214,503;0,243197344;213,7545;-0,053397248
31.10.2013;213,9826;1,149750201;213,8687;0,467082937
30.09.2013;211,5503;0,670597042;212,8744;0,725604935
30.08.2013;210,1411;-0,207144835;211,3409;-0,995614294
31.07.2013;210,5773;0,846319215;213,4662;0,298782645
28.06.2013;208,8101;-1,643945696;212,8303;-1,000183738
31.05.2013;212,3002;-0,183599941;214,9805;-1,463197979
30.04.2013;212,6907;1,379768918;218,1728;0,534160071
29.03.2013;209,796;0,516582678;217,0136;0,977653696
28.02.2013;208,7178;1,267457686;214,9125;1,226803148
31.01.2013;206,1055;-1,211978291;212,3079;-1,824661578
31.12.2012;208,6341;0,992967469;216,2538;0,80418182
30.11.2012;206,5828;0,85470002;214,5286;0,443014031
31.10.2012;204,8321;1,13821917;213,5824;-0,15646248
28.09.2012;202,5269;0,769327602;213,9171;-0,519128656
31.08.2012;200,9807;1,041480757;215,0334;-0,212074413
31.07.2012;198,9091;2,437372635;215,4904;2,063189164
29.06.2012;194,1763;-0,229571926;211,1343;-2,5740543
31.05.2012;194,6231;0,125733941;216,7126;3,298348038
30.04.2012;194,3787;0,120219238;209,7929;1,061519067
30.03.2012;194,1453;0,853443905;207,5893;0,06936765
29.02.2012;192,5024;1,817404794;207,4454;0,146808
31.01.2012;189,0663;2,938769643;207,1413;0,169204329
30.12.2011;183,6687;2,581392128;206,7914;3,055308317
30.11.2011;179,0468;-3,061639389;200,6606;-0,525972429
31.10.2011;184,7017;1,913776331;201,7216;-0,695842324
30.09.2011;181,2333;-1,21092498;203,1351;2,360021285
31.08.2011;183,4548;-1,292233524;198,4516;2,242779951
29.07.2011;185,8565;1,185106465;194,0984;3,054658709
30.06.2011;183,6797;-0,439696484;188,3451;-0,147013292
31.05.2011;184,4909;0,910095336;188,6224;1,454346932
29.04.2011;182,827;0,988692373;185,9185;0,852413735
31.03.2011;181,0371;-0,330328991;184,3471;-1,036462745
28.02.2011;181,6371;0,804495317;186,2778;0,128198719
31.01.2011;180,1875;-0,437508599;186,0393;-1,356747496
31.12.2010;180,9793;-0,238187898;188,5981;-1,251283458
30.11.2010;181,4114;-1,354683754;190,9879;-0,266581862
29.10.2010;183,9027;-0,048480395;191,4984;-1,109187214
30.09.2010;183,9919;-0,273879495;193,6463;-1,192095625
31.08.2010;184,4972;1,89156695;195,9826;3,854675333
30.07.2010;181,0721;1,216970849;188,7085;-0,622463999
30.06.2010;178,895;0,233866883;189,8905;0,527917083
31.05.2010;178,4776;-0,543817758;188,8933;2,458105407
30.04.2010;179,4535;0,577334587;184,3615;1,112469431
31.03.2010;178,4234;1,033303775;182,3331;0,305924292
26.02.2010;176,5986;0,571943395;181,777;0,941518146
29.01.2010;175,5943;1,630363693;180,0815;1,534335212
31.12.2009;172,7774;-0,043042653;177,3602;-0,979761059
30.11.2009;172,8518;0,884753283;179,1151;1,023631107
30.10.2009;171,3359;0,85802601;177,3002;-0,013590918
30.09.2009;169,8783;1,525345732;177,3243;0,521928124
31.08.2009;167,326;1,153319284;176,4036;0,417772672
31.07.2009;165,4182;3,452714053;175,6697;1,07682358
30.06.2009;159,8974;2,230960053;173,7982;1,135546312
29.05.2009;156,408;2,334199596;171,8468;-1,466081282
30.04.2009;152,8404;2,933572191;174,4037;-0,472687637
31.03.2009;148,4845;-0,310379276;175,232;0,499711231
27.02.2009;148,9468;-0,439958558;174,3607;1,150204783
30.01.2009;149,605;0,191469142;172,378;-1,039334422
31.12.2008;149,3191;0,593174552;174,1884;1,741579039
28.11.2008;148,4386;1,54403943;171,2067;3,972353667
31.10.2008;146,1815;-2,057980705;164,6656;1,940430084
30.09.2008;149,2531;-4,362087548;161,5312;1,101511974
29.08.2008;156,0606;0,86386081;159,7713;1,249047055
31.07.2008;154,724;1,144051371;157,8003;1,781035739
30.06.2008;152,9739;-1,231778835;155,039;-0,69235248
30.05.2008;154,8817;-0,623024176;156,1199;-1,222508274
30.04.2008;155,8527;0,771957367;158,0521;-0,699336287
31.03.2008;154,6588;-1,660016723;159,1652;-0,55320005
29.02.2008;157,2695;-0,034133554;160,0506;0,695713229
31.01.2008;157,3232;1,399924719;158,9448;2,51546812
31.12.2007;155,1512;-0,479861039;155,0447;-0,449389578
30.11.2007;155,8993;-0,423282789;155,7446;0,801195029
31.10.2007;156,562;0,819437245;154,5067;0,67872109
28.09.2007;155,2895;-0,134791777;153,4651;-0,027751051
31.08.2007;155,4991;0,350745633;153,5077;0,890221172
31.07.2007;154,9556;0,383315011;152,1532;1,544796564
29.06.2007;154,3639;-0,390915127;149,8385;-0,448464756
31.05.2007;154,9697;-0,764772931;150,5135;-1,071031858
30.04.2007;156,164;-0,042821234;152,143;-0,128594863
30.03.2007;156,2309;-0,247862489;152,3389;-0,437817956
28.02.2007;156,6191;1,000661648;153,0088;0,982176681
31.01.2007;155,0674;-0,031911416;151,5206;-0,469078338
29.12.2006;155,1169;-0,846706277;152,2347;-1,033772816
30.11.2006;156,4415;0,590393851;153,8249;0,477419102
31.10.2006;155,5233;0,326674059;153,094;0,253820403
29.09.2006;155,0169;0,358922068;152,7064;0,559937994
31.08.2006;154,4625;0,965780959;151,8561;1,114444835
31.07.2006;152,985;1,036084646;150,1824;1,047668196
30.06.2006;151,4162;-0,479474609;148,6253;-0,315100899
31.05.2006;152,1457;0,330377521;149,0951;0,317514358
28.04.2006;151,6447;-0,340818055;148,6232;-0,752122712
31.03.2006;152,1633;-1,056132651;149,7495;-1,351700314
28.02.2006;153,7875;0,060704958;151,8014;0,163043873
31.01.2006;153,6942;-0,383315099;151,5543;-0,654332115
30.12.2005;154,2856;0,409746447;152,5525;0,941376221
30.11.2005;153,656;-0,083753401;151,1298;-0,04034637
31.10.2005;153,7848;-0,97043115;151,1908;-1,064148622
30.09.2005;155,2918;-0,082486167;152,817;-0,134228714
31.08.2005;155,42;0,860055537;153,0224;0,982088532
29.07.2005;154,0947;-0,190299148;151,5342;-0,48910224
30.06.2005;154,3885;1,036618686;152,279;1,110711246
31.05.2005;152,8045;0,871709223;150,6062;1,127124858
29.04.2005;151,484;1,014384901;148,9276;1,49412002
31.03.2005;149,9628;0,147788021;146,7352;0,612305629
28.02.2005;149,7415;-0,172333333;145,8422;-0,569277297
31.01.2005;150;1,070062441;146,6772;1,238518306
31.12.2004;148,4119;0,558720161;144,8828;0,64122112
30.11.2004;147,5873;1,00210097;143,9597;1,048886256
29.10.2004;146,123;0,824756068;142,4654;0,907324039
30.09.2004;144,9277;0,472665081;141,1844;0,400722794
31.08.2004;144,2459;1,421488045;140,6209;1,302472609
30.07.2004;142,2242;0,914604726;138,8129;0,915791127
30.06.2004;140,9352;0,26871565;137,5532;0,288281089
31.05.2004;140,5575;-0,243080199;137,1578;-0,268818963
30.04.2004;140,9;-0,793441242;137,5275;-1,074084651
31.03.2004;142,0269;0,977447191;139,0207;0,977886956
27.02.2004;140,6521;1,34802023;137,6744;1,351456802
30.01.2004;138,7813;0,570677813;135,8386;0,620365316
31.12.2003;137,9938;1,196593482;135,0011;1,297725847
28.11.2003;136,3621;-0,066103686;133,2716;-0,300135854
31.10.2003;136,4523;-0,951847948;133,6728;-1,314475173
30.09.2003;137,7636;1,686463122;135,4533;1,51386498
29.08.2003;135,4788;0,226228611;133,4333;0,248454951
31.07.2003;135,173;-0,995298535;133,1026;-1,490272817
30.06.2003;136,5319;0,334074824;135,1162;-0,163590902
30.05.2003;136,0773;2,125250008;135,3376;2,270329743
30.04.2003;133,2455;0,985867564;132,3332;0,025623718
31.03.2003;131,9447;-0,090637598;132,2993;-0,351070384
28.02.2003;132,0644;1,086146164;132,7654;1,01459387
31.01.2003;130,6454;1,088529278;131,4319;1,128065999
31.12.2002;129,2386;1,970311201;129,9658;1,969630161
29.11.2002;126,7414;1,182256178;127,4554;0,407837861
31.10.2002;125,2605;-0,878526431;126,9377;-0,647205877
30.09.2002;126,3707;1,550286681;127,7646;1,928400589
30.08.2002;124,4415;1,43940487;125,3474;1,334309914
31.07.2002;122,6757;0,797004577;123,6969;1,465753425
28.06.2002;121,7057;0,854613737;121,91;1,744198177
31.05.2002;120,6744;0,19769787;119,8201;0,125428261
30.04.2002;120,4363;0,809581724;119,67;1,106792835
29.03.2002;119,4691;-0,557769654;118,36;-1,118474036
28.02.2002;120,1392;0,112746336;119,6988;0,059434395
31.01.2002;120,0039;0,780011942;119,6277;0,589184962
31.12.2001;119,0751;-1,082998003;118,927;-1,348293356
30.11.2001;120,3788;-0,105886492;120,5524;-0,574274198
31.10.2001;120,5064;2,09594815;121,2487;2,458437342
28.09.2001;118,0325;-0,211864586;118,3394;0,665892004
31.08.2001;118,2831;0,979461446;117,5566;0,919080405
31.07.2001;117,1358;1,395822315;116,486;1,428794089
29.06.2001;115,5233;0,88701536;114,8451;0,853936018
31.05.2001;114,5076;0,662659181;113,8727;0,1370069
30.04.2001;113,7538;-0,786269802;113,7169;-1,377218141
30.03.2001;114,6553;0,901248953;115,3049;0,779368115
28.02.2001;113,6312;0,486020714;114,4132;0,518436064
31.01.2001;113,0816;1,088193463;113,8231;0,643528069
29.12.2000;111,8643;1,517623784;113,0953;1,347048761
30.11.2000;110,192;1,261262917;111,5921;1,49395859
31.10.2000;108,8195;0,21568297;109,9495;0,438019549
29.09.2000;108,5853;1,031009368;109,47;0,722919502
31.08.2000;107,4772;0,09639232;108,6843;0,043539494
31.07.2000;107,3737;0,321874778;108,637;0,324234272
30.06.2000;107,0292;0,409879513;108,2859;0,366296632
31.05.2000;106,5923;-0,186438234;107,8907;0,406313021
28.04.2000;106,7914;-0,205305805;107,4541;-0,033491456
31.03.2000;107,0111;1,351625246;107,4901;1,647503166
29.02.2000;105,584;0,568067086;105,7479;0,663679538
31.01.2000;104,9876;;105,0507;
