;PIMCO GIS Income E Cl EUR Hgd Inc;M&G Optimal Income EUR A-H Gross Acc (Hedged);Carmignac Patrimoine A EUR acc;DWS Top Dividende LD;Nordea 1 - Stable Return BP EUR;PrivatFonds: Kontrolliert;Flossbach von Storch - Multiple Opportunities R;iShares Core DAX UCITS (DE) ETF;DWS Deutschland LC;Allianz Europe Equity Growth AT-EUR
Date;;;;;;;;;;
31-Oct-2009;;0,0112;-0,0155;-0,0042;0,0120;;0,0312;-0,0461;-0,0318;0,0026
30-Nov-2009;;0,0078;0,0131;0,0073;0,0137;;0,0093;0,0390;0,0073;0,0063
31-Dec-2009;;0,0079;0,0229;0,0635;0,0243;;0,0205;0,0587;0,0633;0,0679
31-Jan-2010;;0,0205;-0,0038;-0,0142;-0,0132;;0,0258;-0,0587;-0,0485;-0,0061
28-Feb-2010;;-0,0021;0,0008;0,0184;0,0000;;0,0092;-0,0019;0,0129;0,0200
31-Mar-2010;;0,0245;0,0187;0,0582;0,0196;;0,0329;0,0989;0,0992;0,0896
30-Apr-2010;;0,0067;0,0160;0,0022;-0,0035;;0,0077;-0,0030;0,0055;0,0172
31-May-2010;;-0,0193;0,0433;-0,0141;-0,0228;;-0,0244;-0,0281;-0,0417;-0,0372
30-Jun-2010;;0,0056;-0,0013;0,0090;-0,0036;;0,0087;0,0000;-0,0023;0,0224
31-Jul-2010;;0,0222;-0,0387;0,0017;0,0144;0,0034;-0,0408;0,0304;0,0304;0,0218
31-Aug-2010;;0,0238;0,0219;0,0131;0,0044;0,0086;0,0157;-0,0362;-0,0393;-0,0050
30-Sep-2010;;0,0091;-0,0131;0,0095;0,0194;0,0063;0,0252;0,0511;0,0773;0,0702
31-Oct-2010;;0,0053;0,0083;0,0157;0,0035;0,0028;0,0362;0,0597;0,0754;0,0117
30-Nov-2010;;-0,0173;0,0174;0,0155;-0,0147;0,0083;-0,0005;0,0129;0,0159;0,0219
31-Dec-2010;;0,0099;0,0001;0,0399;0,0131;0,0155;0,0423;0,0336;0,0582;0,0571
31-Jan-2011;;0,0049;-0,0266;-0,0167;-0,0043;-0,0129;-0,0257;0,0235;0,0183;-0,0312
28-Feb-2011;;0,0121;0,0040;0,0189;0,0087;0,0110;0,0260;0,0274;0,0209;0,0171
31-Mar-2011;;0,0032;-0,0091;-0,0093;-0,0034;-0,0188;-0,0138;-0,0318;-0,0097;0,0062
30-Apr-2011;;0,0122;-0,0058;0,0047;0,0181;0,0076;0,0200;0,0667;0,0565;0,0361
31-May-2011;;0,0065;-0,0070;0,0192;0,0110;0,0002;0,0137;-0,0303;-0,0184;0,0151
30-Jun-2011;;-0,0045;-0,0021;-0,0219;-0,0076;-0,0134;-0,0211;0,0112;-0,0024;-0,0315
31-Jul-2011;;0,0155;0,0163;0,0063;0,0059;0,0045;0,0331;-0,0295;-0,0345;0,0011
31-Aug-2011;;-0,0194;0,0112;-0,0533;-0,0084;-0,0338;0,0147;-0,1921;-0,2036;-0,1026
30-Sep-2011;;-0,0100;-0,0013;0,0082;-0,0051;-0,0051;-0,0168;-0,0490;-0,0769;-0,0275
31-Oct-2011;;0,0462;-0,0258;0,0455;0,0281;0,0157;0,0188;0,1161;0,1599;0,0814
30-Nov-2011;;-0,0280;0,0179;-0,0097;-0,0099;-0,0147;0,0115;-0,0087;-0,0488;-0,0426
31-Dec-2011;;0,0247;0,0220;0,0637;0,0251;0,0196;0,0130;-0,0315;0,0016;0,0476
31-Jan-2012;;0,0300;0,0226;0,0007;0,0131;0,0204;0,0344;0,0950;0,1318;0,0489
29-Feb-2012;;0,0219;0,0049;0,0188;0,0145;0,0165;0,0331;0,0613;0,0752;0,0586
31-Mar-2012;;0,0027;-0,0102;0,0056;0,0064;0,0013;0,0226;0,0130;0,0043;0,0169
30-Apr-2012;;-0,0068;0,0127;0,0042;-0,0047;-0,0008;-0,0023;-0,0269;-0,0070;0,0126
31-May-2012;;-0,0079;0,0365;-0,0043;-0,0167;-0,0078;-0,0254;-0,0735;-0,0816;-0,0403
30-Jun-2012;;0,0107;-0,0274;0,0163;0,0145;-0,0016;-0,0071;0,0241;-0,0124;0,0096
31-Jul-2012;;0,0286;0,0282;0,0655;0,0231;0,0268;0,0564;0,0554;0,0963;0,0858
31-Aug-2012;;0,0095;-0,0154;-0,0083;0,0070;0,0008;0,0118;0,0292;0,0153;-0,0020
30-Sep-2012;;0,0092;0,0034;-0,0018;0,0062;0,0072;0,0087;0,0351;0,0382;0,0123
31-Oct-2012;;0,0094;-0,0065;-0,0119;-0,0031;0,0007;-0,0162;0,0060;0,0125;0,0027
30-Nov-2012;0,0000;0,0084;0,0017;-0,0008;0,0031;0,0079;0,0255;0,0198;0,0372;0,0399
31-Dec-2012;0,0614;0,0077;0,0043;-0,0095;0,0015;0,0047;-0,0032;0,0279;0,0247;0,0010
31-Jan-2013;0,0186;0,0100;0,0068;0,0185;0,0115;0,0096;0,0265;0,0213;0,0263;0,0179
28-Feb-2013;0,0041;0,0055;0,0098;0,0307;0,0114;0,0116;0,0113;-0,0045;0,0101;0,0256
31-Mar-2013;0,0051;0,0097;0,0167;0,0524;0,0150;0,0130;0,0267;0,0068;0,0138;0,0249
30-Apr-2013;0,0168;0,0189;0,0018;0,0077;0,0177;0,0095;-0,0015;0,0150;0,0123;0,0021
31-May-2013;-0,0021;0,0056;-0,0011;-0,0009;0,0022;0,0122;0,0126;0,0548;0,0597;0,0097
30-Jun-2013;-0,0317;-0,0303;-0,0412;-0,0260;-0,0181;-0,0241;-0,0347;-0,0467;-0,0448;-0,0392
31-Jul-2013;0,0045;0,0262;0,0004;0,0156;0,0155;0,0116;0,0185;0,0397;0,0457;0,0350
31-Aug-2013;-0,0051;-0,0069;-0,0058;-0,0244;-0,0152;-0,0040;-0,0012;-0,0211;-0,0092;-0,0115
30-Sep-2013;0,0141;0,0077;0,0095;0,0085;0,0110;0,0092;0,0078;0,0605;0,0476;0,0326
31-Oct-2013;0,0149;0,0198;0,0220;0,0253;0,0182;0,0134;0,0078;0,0511;0,0612;0,0084
30-Nov-2013;-0,0031;0,0015;0,0085;0,0154;0,0072;0,0074;0,0147;0,0410;0,0355;0,0155
31-Dec-2013;0,0006;0,0031;0,0087;-0,0021;-0,0064;0,0014;-0,0011;0,0154;0,0147;0,0133
31-Jan-2014;0,0168;0,0049;-0,0119;-0,0228;-0,0050;0,0033;-0,0159;-0,0258;-0,0313;-0,0348
28-Feb-2014;0,0119;0,0106;0,0004;0,0297;0,0122;0,0148;0,0316;0,0413;0,0440;0,0583
31-Mar-2014;0,0015;0,0025;0,0038;0,0115;0,0099;0,0009;-0,0008;-0,0143;-0,0022;-0,0050
30-Apr-2014;0,0062;0,0072;-0,0048;0,0230;0,0063;0,0020;0,0070;0,0049;0,0005;0,0063
31-May-2014;0,0173;0,0092;0,0218;0,0298;0,0182;0,0152;0,0088;0,0353;0,0406;0,0258
30-Jun-2014;0,0052;0,0023;0,0102;0,0074;0,0041;0,0047;0,0088;-0,0112;-0,0168;0,0102
31-Jul-2014;0,0006;0,0002;0,0098;0,0120;0,0082;-0,0004;0,0096;-0,0435;-0,0476;-0,0086
31-Aug-2014;0,0098;0,0094;0,0259;0,0225;0,0156;0,0130;0,0156;0,0066;-0,0002;0,0109
30-Sep-2014;-0,0049;-0,0090;0,0039;0,0197;0,0047;0,0023;0,0083;0,0004;-0,0107;-0,0086
31-Oct-2014;0,0080;0,0049;0,0035;0,0029;0,0053;-0,0061;0,0010;-0,0158;-0,0083;0,0056
30-Nov-2014;0,0006;0,0057;0,0109;0,0260;0,0172;0,0133;0,0337;0,0700;0,0711;0,0385
31-Dec-2014;-0,0122;-0,0017;0,0117;0,0038;0,0052;0,0031;0,0123;-0,0177;0,0086;0,0013
31-Jan-2015;0,0015;0,0107;0,0655;0,0745;0,0265;0,0208;0,0583;0,0905;0,1027;0,1005
28-Feb-2015;0,0128;0,0017;0,0256;0,0319;0,0038;0,0184;0,0264;0,0660;0,0607;0,0516
31-Mar-2015;0,0034;-0,0056;0,0306;0,0224;0,0075;0,0100;0,0149;0,0494;0,0500;0,0340
30-Apr-2015;0,0071;-0,0012;-0,0239;-0,0064;-0,0087;-0,0063;-0,0062;-0,0429;-0,0409;-0,0143
31-May-2015;0,0071;-0,0019;0,0032;0,0171;0,0050;0,0072;0,0057;-0,0036;0,0161;0,0399
30-Jun-2015;-0,0086;-0,0116;-0,0357;-0,0507;-0,0237;-0,0186;-0,0417;-0,0412;-0,0447;-0,0513
31-Jul-2015;0,0025;0,0013;0,0118;0,0492;0,0224;0,0079;0,0321;0,0331;0,0290;0,0382
31-Aug-2015;-0,0068;-0,0070;-0,0704;-0,0642;-0,0188;-0,0227;-0,0499;-0,0929;-0,0874;-0,0802
30-Sep-2015;-0,0069;-0,0097;-0,0106;-0,0287;-0,0051;-0,0135;-0,0363;-0,0585;-0,0414;-0,0240
31-Oct-2015;0,0158;0,0085;0,0080;0,0890;0,0199;0,0255;0,0973;0,1230;0,1102;0,0959
30-Nov-2015;-0,0003;0,0053;0,0243;0,0203;-0,0063;0,0112;0,0063;0,0489;0,0619;0,0405
31-Dec-2015;-0,0107;-0,0064;-0,0144;-0,0217;0,0044;-0,0152;-0,0135;-0,0563;-0,0477;-0,0355
31-Jan-2016;-0,0003;-0,0148;-0,0081;-0,0302;0,0088;-0,0149;-0,0535;-0,0881;-0,1150;-0,0724
29-Feb-2016;-0,0070;-0,0087;0,0040;0,0102;0,0112;0,0004;0,0431;-0,0310;-0,0296;-0,0363
31-Mar-2016;0,0161;0,0334;-0,0179;0,0119;0,0259;0,0053;0,0178;0,0494;0,0762;0,0427
30-Apr-2016;0,0102;0,0211;0,0102;0,0049;-0,0030;0,0010;0,0016;0,0072;0,0094;0,0071
31-May-2016;0,0073;-0,0007;0,0082;0,0286;0,0012;0,0102;0,0043;0,0356;0,0216;0,0379
30-Jun-2016;0,0006;-0,0161;0,0124;0,0134;0,0145;-0,0052;0,0073;-0,0569;-0,0766;-0,0494
31-Jul-2016;0,0130;0,0223;0,0211;0,0132;0,0119;0,0099;0,0348;0,0679;0,0865;0,0440
31-Aug-2016;0,0063;0,0149;-0,0057;-0,0072;-0,0100;0,0033;0,0002;0,0245;0,0406;0,0066
30-Sep-2016;0,0063;-0,0021;-0,0045;-0,0045;-0,0036;-0,0031;-0,0146;-0,0073;-0,0196;-0,0125
31-Oct-2016;0,0015;0,0090;-0,0019;-0,0006;-0,0161;-0,0018;-0,0076;0,0146;0,0300;-0,0355
30-Nov-2016;-0,0041;-0,0044;0,0077;0,0157;-0,0175;0,0009;-0,0100;-0,0025;-0,0011;0,0128
31-Dec-2016;0,0072;0,0149;0,0132;0,0167;0,0068;0,0129;0,0291;0,0788;0,0714;0,0290
31-Jan-2017;0,0044;0,0026;0,0067;-0,0017;0,0000;-0,0005;0,0048;0,0046;0,0221;0,0168
28-Feb-2017;0,0100;0,0067;0,0050;0,0466;0,0239;0,0151;0,0283;0,0259;0,0093;0,0305
31-Mar-2017;0,0043;-0,0011;0,0033;-0,0029;0,0042;0,0042;0,0024;0,0404;0,0434;0,0339
