Dec-00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATE;PRIVATE CAPITAL;NATURAL RESOURCES;REAL ESTATE OPPORTUNISTIC;REAL ESTATE VALUE ADDED;PRIVATE EQUITY;REAL ESTATE;BUYOUT;GROWTH;DISTRESSED PRIVATE EQUITY;FUNDS OF FUNDS;VENTURE;S&P 500 TOTAL RETURN;VENTURE ALL STAGE;VENTURE EARLY STAGE;VENTURE EXPANSION;Buyout - Small;Buyout - Mid;Buyout - Large;Buyout - Mega;MSCI Emerging Markets TR;MSCI Europe Standard TR;MSCI US REIT TR;MSCI World TR;Private Capital - Asia;Private Capital - Europe;Private Capital - North America;Private Debt - Mezzanine;Private Equity excl. VC;Russell 2000 TR;Russell 3000 TR;Secondaries;Private Debt;Private Debt - Distressed Debt
Mar-14;275,1;440,9;197,3;187,9;269,4;265,1;364,3;227;462,9;188;85,4;189;72,1;88;219,2;359,7;350,9;339,5;399,7;425,3;200,1;394,2;188,7;383;541,3;257,4;281,5;345,7;302,3;205,2;387,8;364,8;508,6
Jun-14;287,5;479;204,6;196,4;281,2;275,9;381,1;238,2;478,6;195,9;88,1;198,9;74,9;90,4;214,6;379,8;365,6;353;419,7;453,8;207,4;421,8;198,3;400,9;565,2;269;290,1;361,3;308,5;215,2;405,5;376,1;526,1
Sep-14;289,9;482,7;207,7;202,8;282,9;281,9;380;243,1;480,2;201,9;89,8;201,1;76,5;91,7;219,6;388,2;366,9;352,3;416,4;438,6;192,9;408,7;194,2;411,7;551,1;273,8;292,4;362,9;285,8;215,3;413,2;377,8;527,7
Dec-14;296,1;441,7;216,3;212,3;291,7;292,8;390,8;246,5;481;209,5;96,6;211,1;82,5;99,4;223,5;399,7;379,9;359,8;428,8;419,1;184,6;467,3;196,4;424,6;561,2;279,7;318,2;372,6;313,6;226,5;423,5;384,9;528,2
Mar-15;303,1;436,9;220,9;220,4;300;302,2;398,6;254,5;496,2;216,9;100,7;213,1;86,3;103,1;231,5;409;393,1;363,8;440,2;428,7;191,2;489,4;201,2;445,6;557,3;288,7;325,9;382,4;327,2;230,6;429;395,9;539,9
Jun-15;316;440,6;226,4;230,5;315,1;312,1;419,4;272,1;505,1;227,4;104,5;213,7;89,4;107,4;239,4;424,3;408,3;378,4;468,1;432,2;192,5;438,3;202,2;467,1;594,2;299;345,2;402;328,5;230,9;449,2;405,1;548,7
Sep-15;314,9;423,6;229,5;234,6;313,7;316,2;417,8;266,5;496,1;230,6;103,3;199,9;88,4;104,4;231,6;435,8;411,9;373,4;465,1;355,3;175,9;447,4;185,3;455,8;593,4;298,6;342,9;400,5;289,4;214,2;450,9;400,2;549,3
Dec-15;321,4;402,9;234,9;244,4;322,8;325,5;433,8;274,3;491,3;233,9;105,1;214;89,9;106,1;236,8;444,3;424,9;385,2;486,3;357,9;180,3;479;195,7;478,1;610,2;303,3;352,7;412,6;299,8;227,6;451;400,3;544,2
Mar-16;324,4;393,7;241,3;248,2;325,7;332,8;441,6;270,8;493,1;236,3;101,3;216,9;87,2;100,3;231,4;455,6;432;393,3;494,2;378,5;176;509,3;195,4;478,1;631,1;304,1;364,1;418,4;295,2;229,8;453,2;403,2;542,4
Jun-16;331,9;409,4;244,8;255,1;332,9;338;453,8;275,6;504,4;243;101,9;222,2;87,7;102,1;226,3;466,2;455;401,7;505,5;381,6;172;544;197,7;486,3;637;312,9;373,3;428,4;306,4;235,9;449,2;413,3;557,1
Sep-16;343,9;428,2;252;258,7;345,8;347,7;474,1;287,7;524,1;246,2;104;230,8;89,5;104,8;227,8;483,5;473,7;417,8;530,6;416,5;181,4;536,1;207,6;498,8;659,4;325;378;445,6;334,1;246,2;465,1;428,3;579,6
Dec-16;353,5;448,8;253,4;273,1;356,8;354,1;495,2;298,6;514,1;249,7;104,5;241,6;90,1;104,9;228,5;505,7;493,4;440,1;552,1;399,5;180,7;520,2;211,7;510,4;672,6;335,1;391,2;461;365,9;258,7;453,9;426,6;567,9
Mar-17;367,4;460;264,5;286,3;372,1;368;518,4;309,9;527,8;259;107,3;254,1;93;105,7;239,5;527,9;508,6;462,2;580;445,4;194,5;525,4;225,5;523,6;705,4;347,8;411,4;481,5;372,6;271,4;473,2;441;585,5
Jun-17;382,4;460,8;276,7;289;391,4;378,2;551,3;324,5;536,7;266,4;109,5;262;95,5;106,8;240,9;554;533,1;485;624,4;473,8;209,5;534,1;235;540,5;757,2;359,1;438,1;507,8;381,8;279,5;488;454,5;595,3
Sep-17;398;470,2;286,8;298,5;408;392,1;575,8;340,1;542,1;275,3;113,1;273,7;98,5;112,5;241,1;574,3;556,8;506,4;652,8;511,9;223,1;539;246,7;559,3;805,1;371,7;450,9;529,8;403,4;292,3;509,5;462,1;600,1
Dec-17;413,5;485,5;296,2;308,1;425,3;404,5;602;360,4;558,1;282,2;117,3;291,9;100,8;120,9;246,5;590,4;583,2;534,9;679,4;550,3;228,1;546,6;260,5;589,6;844,3;384,2;465,1;552,6;416,9;310,8;526,5;478,7;620,4
Mar-18;423,3;479;303,8;316;439,4;415,8;621,5;374;562;294,5;121,1;289,7;104,1;124,3;255,3;623,1;601,8;557,4;696,3;558,4;223,9;502,4;257,5;603,9;864,9;393,3;471;570,9;416,6;308,8;543,6;479,8;621,2
Jun-18;436,8;493,2;297,6;323,2;456,3;416,2;642,2;392,2;575,3;309,1;126,6;299,6;109,1;128,9;268,6;660,1;619,9;575,3;718,8;514,5;221,9;553,1;262,5;615;894;406,9;483,7;592,5;448,9;320,8;555,2;491,9;638,2
Sep-18;449,8;503,8;305,6;331,1;471,9;426;662,1;406;583,5;322,3;132;322,7;112,6;137,5;278,7;682,4;636,8;592;742,3;509,6;223,8;559,2;275,9;625,1;911,7;421,5;492,4;612,2;458,5;316,4;575,5;499,6;643,2
Dec-18;449,4;495,9;308,6;339,1;471,7;431,9;658,6;404,5;571;326,2;133,7;279,1;113,4;140,3;283,2;703,2;652,5;593,9;725,9;472;195,4;521,6;239,2;621,9;918,4;419,9;482,9;611,1;371;294,5;584,5;492,5;628,8
Mar-19;463,3;510,4;316,5;346,1;487,7;441,8;680,2;424,9;587,2;334,5;141;317,2;118,5;150;301,2;723;662,5;617,6;751,5;518,9;216,9;606,5;269,4;648,8;940,9;433,2;502,3;630,3;429,6;335,9;593;506,6;646,1
Jun-19;477,4;508,2;323,4;351,1;507,8;449,9;708,2;444,2;588,2;347,5;146,6;333,4;122,5;156,5;317,6;751,8;687,9;640,5;784,9;522,7;227,6;614,3;280,7;661,4;980,6;445,9;517,9;656,4;434,9;352,2;608,9;513,6;644,8
Sep-19;487,7;511,4;327,9;356,1;520,1;455,9;727,1;449,2;589;362,9;148,2;336,5;123,6;159,6;317,6;758,9;702,3;650,3;813,3;501,3;223,6;661,5;282,6;666,3;1005;455,9;542,6;673,2;423,6;353,7;621,4;519;642,7
Dec-19;505,2;513,4;338;370,3;543,2;469,4;759,7;473,5;597,4;373,6;156,1;367;130;170,3;327,7;807,6;724,3;680,3;850,7;561,1;241,2;656,4;307,1;687,3;1057,3;470,5;560,4;702,6;465,7;385,9;653,1;528,2;645,4
Mar-20;468,3;453,1;318;363,6;504,4;446,8;691,8;446,5;536,7;363,9;151,1;295,1;125,6;166,9;313;770,1;676,3;624,1;764;428,8;184,5;479,2;242,8;648,6;982,6;435,5;530,5;649,8;323,1;305,3;647,9;488,3;561,3
Jun-20;499,7;463,3;318,2;360,1;550,6;447,4;759,3;511,6;565,4;379,8;166,9;355,7;139,1;181,5;351,9;805;710,1;678,6;856,3;506,8;213,2;535,3;290,3;686,6;1036,2;467;556,6;708,4;405,3;372,5;653,1;512,4;599,1
Sep-20;538,8;470;327,2;367,7;608,3;459,4;847,7;571,9;595,2;412,1;182,5;387,4;153,4;193,1;394,9;879,4;767,9;757,1;966;556;223;544;313,6;747,3;1124,7;502,8;573,1;783,5;425,3;406,8;664,2;534,9;628,2
Dec-20;591,6;488,9;341,7;381,2;682,4;478,7;949,5;637,1;635,9;462,7;215,8;434,5;182,2;220,7;487,2;989,1;862;847,8;1081,3;665,9;257,9;606,7;357,8;825,4;1248,9;549,7;577,5;874,7;558,7;466,5;729,2;561,5;666,4
Mar-21;643,7;518,6;350,7;396,1;753,8;494,5;1034,3;720,1;682,5;527,8;253,1;461,3;209,4;268,8;564,1;1095,3;935,9;922,3;1178,3;681,5;268,8;659,8;375,8;880;1312,8;607,3;602,6;960,3;629,6;496,1;794,8;592;704,7
Jun-21;711,4;549,9;373,2;418,8;848,7;523,8;1162;812;731;594;284,5;500,8;228,2;309,2;653,8;1222,4;1042,6;1041,7;1323,2;716,4;289,6;739;405,4;963,8;1441,8;673,5;629,1;1081,4;656,6;537;918,1;624,2;744,5
Sep-21;741,9;562,4;405,8;448,4;880,2;564,7;1198,9;814,9;769,6;624,3;308,6;503,7;237,5;345,5;750,5;1288,3;1099,6;1081,8;1356;659,3;285,4;746,2;405,8;933,3;1521,7;708,5;646;1117,3;628;536,5;1006,8;651,5;782,8
Dec-21;792,5;595,6;432,8;481,5;942,5;606,3;1295,8;852,3;815,2;665,6;320,4;559,2;241,9;366,9;779,5;1363,5;1240,3;1191,8;1444;651,1;301,7;867,9;437,7;948,3;1613,4;762,8;673;1199,3;641,4;586,2;1090,4;679,2;817,3
Mar-22;803,2;661;455,4;505,3;943;633,6;1280,6;868,4;831,5;695,4;312,2;533,5;238,4;350,6;778,3;1390,8;1225,8;1204;1411,7;606;279,9;832,7;415,6;914,2;1601,7;781,3;694,9;1201,8;593,2;555,3;1121,9;688,2;831,1
