Date;Bloomberg Euro Aggregate Corporate Total Return Index EU;Change;% Change;Bloomberg Euro Aggregate Treasury Germany Total Return Index;Change;% Change;Bloomberg Baa Corporate Total Return Index;Change;% Change;Bloomberg Global Treasury Total Return Index;Change;% Change;Bloomberg Global Agg Corporate Total Return Index;Change;% Change;;;;;
30.11.2020;265,7639;2,7009;1,026712232;260,5998;-1,4173;-0,540918894;1015,917;31,9587;3,247973009;685,6681;10,5618;1,564464737;303,6561;9,0184;3,060843877;;;;;
30.10.2020;263,063;2,0247;0,775633307;262,0171;2,3431;0,902323683;983,9583;0,1566;0,015917842;675,1063;0,868;0,128737866;294,6377;-0,1827;-0,061969932;;;;;
30.09.2020;261,0383;0,7925;0,304519804;259,674;2,6004;1,011539108;983,8017;-2,8686;-0,290735416;674,2383;-0,9948;-0,147326901;294,8204;-2,3309;-0,784415212;;;;;
31.08.2020;260,2458;0,455;0,175140921;257,0736;-3,177;-1,220746465;986,6703;-10,4903;-1,052017097;675,2331;-2,5952;-0,382869821;297,1513;-0,9009;-0,30226249;;;;;
31.07.2020;259,7908;3,8511;1,504690363;260,2506;1,5975;0,6176226;997,1606;32,6835;3,388727425;677,8283;21,9415;3,345318125;298,0522;12,0853;4,226118477;;;;;
30.06.2020;255,9397;3,3319;1,319001234;258,6531;0,7821;0,30329118;964,4771;23,8288;2,533231602;655,8868;3,2473;0,497564122;285,9669;5,8413;2,085243191;;;;;
29.05.2020;252,6078;0,4382;0,173771938;257,871;-3,4412;-1,316892208;940,6483;20,2812;2,203598977;652,6395;0,0208;0,00318716;280,1256;4,0127;1,453282335;;;;;
30.04.2020;252,1696;9,0728;3,732175825;261,3122;3,1066;1,203149738;920,3671;55,4492;6,41092062;652,6187;8,4583;1,313073576;276,1129;12,6778;4,812494614;;;;;
31.03.2020;243,0968;-17,8761;-6,849791683;258,2056;-3,4705;-1,32625792;864,9179;-97,0399;-10,08775021;644,1604;-5,7368;-0,882724222;263,4351;-20,4857;-7,215286798;;;;;
28.02.2020;260,9729;-1,05;-0,400728333;261,6761;3,5605;1,379420694;961,9578;9,6987;1,018493811;649,8972;5,5786;0,8658139;283,9208;0,9455;0,334128102;;;;;
31.01.2020;262,0229;2,9942;1,155933686;258,1156;5,1961;2,054448154;952,2591;21,228;2,280052729;644,3186;8,9217;1,404114499;282,9753;4,4431;1,595183609;;;;;
31.12.2019;259,0287;-0,1339;-0,051666406;252,9195;-3,4894;-1,360873199;931,0311;5,5527;0,599981588;635,3969;2,8139;0,444827003;278,5322;2,3723;0,859031308;;;;;
29.11.2019;259,1626;-0,6518;-0,250871391;256,4089;-1,0297;-0,399978869;925,4784;3,4246;0,371409998;632,583;-7,4763;-1,168063647;276,1599;-0,6577;-0,237593274;;;;;
31.10.2019;259,8144;-0,5424;-0,208329492;257,4386;-3,752;-1,436498863;922,0538;6,4257;0,701780559;640,0593;3,0468;0,478295167;276,8176;3,1902;1,165892012;;;;;
30.09.2019;260,3568;-2,0058;-0,764514454;261,1906;-2,8635;-1,084436864;915,6281;-4,4909;-0,488078172;637,0125;-8,6032;-1,332557433;273,6274;-2,1179;-0,768063862;;;;;
30.08.2019;262,3626;1,6605;0,63693388;264,0541;5,8523;2,266560496;920,119;26,4415;2,958729519;645,6157;16,3115;2,591989693;275,7453;5,1885;1,917711919;;;;;
31.07.2019;260,7021;3,6721;1,428665914;258,2018;2,4586;0,961354984;893,6775;5,8073;0,654070832;629,3042;-2,8491;-0,450697639;270,5568;0,1889;0,069867762;;;;;
28.06.2019;257,03;4,0085;1,584252722;255,7432;2,6483;1,046366402;887,8702;23,4063;2,707608727;632,1533;13,9951;2,263999733;270,3679;7,2468;2,754169088;;;;;
31.05.2019;253,0215;-0,3901;-0,153939283;253,0949;3,7899;1,520186117;864,4639;10,1789;1,19151103;618,1582;10,6201;1,748054978;263,1211;1,7847;0,682912905;;;;;
30.04.2019;253,4116;1,8075;0,718390519;249,305;-1,4299;-0,570283594;854,285;7,5886;0,896259864;607,5381;-3,8664;-0,632380036;261,3364;1,1903;0,457550584;;;;;
29.03.2019;251,6041;3,4473;1,389162014;250,7349;4,1377;1,677918484;846,6964;22,2413;2,697696939;611,4045;7,297;1,207897601;260,1461;4,1635;1,626477737;;;;;
28.02.2019;248,1568;1,6942;0,687406527;246,5972;-0,842;-0,340285614;824,4551;2,9842;0,363275193;604,1075;-6,1095;-1,001201212;255,9826;0,4796;0,187708168;;;;;
31.01.2019;246,4626;2,6489;1,086444281;247,4392;1,9025;0,774833253;821,4709;20,6248;2,575376218;610,217;8,4522;1,404568695;255,503;5,7294;2,293837299;;;;;
31.12.2018;243,8137;0,5074;0,208543716;245,5367;1,3097;0,536263394;800,8461;9,6191;1,215719383;601,7648;15,1948;2,590449563;249,7736;3,0515;1,236816645;;;;;
30.11.2018;243,3063;-1,5742;-0,642844163;244,227;1,0218;0,420139043;791,227;-3,2783;-0,412621539;586,57;2,5579;0,437987501;246,7221;-0,9284;-0,374883152;;;;;
31.10.2018;244,8805;-0,4444;-0,181147531;243,2052;1,4865;0,614971039;794,5053;-12,9413;-1,60274376;584,0121;-5,2687;-0,89408988;247,6505;-4,1721;-1,656761546;;;;;
28.09.2018;245,3249;-0,7052;-0,286631595;241,7187;-2,0816;-0,853813552;807,4466;-1,3948;-0,17244419;589,2808;-7,0138;-1,176230675;251,8226;-1,0251;-0,40542192;;;;;
